position (m),time (ms)
0.29185399413108826,6199.0
0.290896475315094,6199.033333333334
0.28777554631233215,6199.066666666667
0.28777554631233215,6199.1
0.2837170660495758,6199.133333333333
0.28058117628097534,6199.166666666667
0.2765326499938965,6199.2
0.27338677644729614,6199.233333333334
0.27338677644729614,6199.266666666666
0.27338677644729614,6199.3
0.28144389390945435,6199.333333333333
0.2917991280555725,6199.366666666667
0.2989885210990906,6199.4
0.30617791414260864,6199.433333333333
0.31737592816352844,6199.466666666666
0.32775112986564636,6199.5
0.3309418857097626,6199.533333333334
0.3349355161190033,6199.566666666667
0.3381362855434418,6199.6
0.3381362855434418,6199.633333333333
0.3381362855434418,6199.666666666667
0.3421099781990051,6199.7
0.3453306555747986,6199.733333333334
0.34929436445236206,6199.766666666666
0.3525250554084778,6199.8
0.3485713005065918,6199.833333333333
0.3453306555747986,6199.866666666667
0.3492744266986847,6199.9
0.3525250554084778,6199.933333333333
0.356458842754364,6199.966666666666
0.3597194254398346,6200.0
0.36364325881004333,6200.033333333334
0.3669138252735138,6200.066666666667
0.3669138252735138,6200.1
0.3669138252735138,6200.133333333333
0.3708176910877228,6200.166666666667
0.374108225107193,6200.2
0.374108225107193,6200.233333333334
0.37799710035324097,6200.266666666666
0.3813025951385498,6200.3
0.3813025951385498,6200.333333333333
0.38517653942108154,6200.366666666667
0.388496994972229,6200.4
0.38463303446769714,6200.433333333333
0.3813025951385498,6200.466666666666
0.3813025951385498,6200.5
0.3813025951385498,6200.533333333334
0.3813025951385498,6200.566666666667
0.3813025951385498,6200.6
0.3813025951385498,6200.633333333333
0.3813025951385498,6200.666666666667
0.37747856974601746,6200.7
0.3664700984954834,6200.733333333334
0.3559053838253021,6200.766666666666
0.34871596097946167,6200.8
0.3415265679359436,6200.833333333333
0.3381362855434418,6200.866666666667
0.3419303894042969,6200.9
0.3453306555747986,6200.933333333333
0.3491148054599762,6200.966666666666
0.35630419850349426,6201.0
0.3597194254398346,6201.033333333334
0.3634886145591736,6201.066666666667
0.3669138252735138,6201.1
0.36315464973449707,6201.133333333333
0.3597194254398346,6201.166666666667
0.3597194254398346,6201.2
0.3597194254398346,6201.233333333334
0.3597194254398346,6201.266666666666
0.3597194254398346,6201.3
0.3597194254398346,6201.333333333333
0.3597194254398346,6201.366666666667
0.3597194254398346,6201.4
0.3597194254398346,6201.433333333333
0.3597194254398346,6201.466666666666
0.3560151159763336,6201.5
0.34882572293281555,6201.533333333334
0.3416363298892975,6201.566666666667
0.3381362855434418,6201.6
0.3381362855434418,6201.633333333333
0.3381362855434418,6201.666666666667
0.33446189761161804,6201.7
0.33461129665374756,6201.733333333334
0.33447185158729553,6201.766666666666
0.3309418857097626,6201.8
0.3272874355316162,6201.833333333333
0.3237474858760834,6201.866666666667
0.3201030492782593,6201.9
0.3129136264324188,6201.933333333333
0.30935871601104736,6201.966666666666
0.30935871601104736,6202.0
0.3129832148551941,6202.033333333334
0.32017263770103455,6202.066666666667
0.3273620307445526,6202.1
0.3345514237880707,6202.133333333333
