spike_times (ms)
6245.2314
6250.3127
6250.333
6250.3367
6250.34
6250.3437
6250.3471
6250.3505
6250.3792
6250.4187
6250.4352
6250.441
6250.4496
6250.4539
6250.4601
6250.4658
6250.4861
6250.514
6258.3614
6245.5302
6245.533
6251.989
6252.0003
6252.0033
6252.0069
6252.0154
6255.2436
6255.2489
6255.2627
6255.2873
6255.2916
6255.3023
6255.3063
6255.3726
6255.384
6255.4101
6255.4228
6255.5509
6255.559
6255.6995
6255.7068
6255.7205
6255.8111
6255.8367
6255.8425
6255.9861
6244.738
6244.7418
6244.7468
6244.7634
6244.8536
6245.525
6245.531
6245.5347
6245.5388
6245.544
6245.5532
6245.5601
6245.5681
6245.5736
6245.5942
6245.6989
6245.7212
6245.7332
6245.803
6246.2022
6246.3171
6246.3243
6246.3278
6249.1703
6249.8893
6249.8943
6250.0037
6250.0077
6250.0125
6250.0184
6250.1254
6250.1313
6250.3532
6250.3594
6250.3638
6250.3702
6250.3748
6250.3846
6250.4118
6250.489
6250.4981
6250.5173
6251.13
6251.1385
6252.011
6257.6564
6257.7796
6257.7873
6258.3473
6258.3533
6258.358
6258.3635
6258.3691
6258.3773
6258.3887
6241.1155
6241.6725
6242.7441
6243.5746
6243.8585
6244.7206
6245.5485
6245.5805
6245.6075
6245.6195
6245.6556
6245.6674
6245.6754
6246.0467
6246.1926
6246.313
6246.8336
6247.1934
6247.5864
6248.6652
6248.6887
6249.5954
6251.3554
6251.3687
6251.3814
6251.3863
6252.2866
6254.3742
6254.3888
6255.1353
6241.4211
6255.0463
6256.3327
6256.3366
6256.3413
6256.3502
6257.1198
6257.1264
6258.7078
6240.266
6240.8508
6240.9775
6241.0872
6241.3511
6241.4211
6241.5022
6241.5057
6241.511
6241.5155
6241.8957
6241.9133
6242.1677
6242.191
6242.6017
6242.6048
6242.8509
6242.8569
6242.9842
6243.1416
6243.1486
6243.2634
6243.4135
6243.5342
6243.6977
6243.9747
6243.9908
6244.5476
6244.554
6244.567
6244.6592
6244.8166
6245.14
6245.2548
6245.5076
6246.0464
6246.5563
6247.4141
6248.942
6250.1107
6251.4817
6251.4888
6251.4933
6251.5995
6251.7227
6251.7263
6251.7295
6251.8514
6251.8591
6251.9772
6251.9804
6252.0722
6252.0941
6252.1971
6252.2138
6252.2165
6252.3272
6252.3338
6252.3401
6252.4391
6252.4468
6252.5626
6252.5869
6252.7017
6252.7193
6252.7925
6252.8309
6252.8657
6252.9524
6252.9616
6253.0762
6253.1115
6253.2128
6253.2193
6253.3041
6253.3369
6253.4613
6253.5979
6253.6317
6253.6484
6253.7413
6253.8078
6253.8696
6253.9952
6254.002
6254.0433
6254.1164
6254.1228
6254.2277
6254.3422
6254.391
6254.4226
6254.5094
6254.6373
6254.7729
6254.9161
6254.926
6255.0612
6255.0999
6255.1929
6255.2545
6255.3125
6255.3261
6255.3812
6255.4234
6255.4507
6255.4609
6255.5706
6255.7057
6255.8411
6256.0932
6256.104
6256.1751
6256.2099
6256.3519
6256.3573
6256.4151
6256.4692
6256.5454
6256.6126
6256.7301
6256.7416
6256.8567
6256.8808
6257.1337
6257.2322
6257.2557
6257.3926
6257.407
6257.4558
6257.5005
6257.5083
6257.5824
6257.6698
6258.0122
6258.0508
6258.0906
6258.2355
6258.2986
6258.4744
6258.545
6258.5897
6258.6299
6258.663
6258.7953
6258.803
6258.9013
6258.9264
6258.9647
6250.6474
6253.9809
6255.0175
6255.1646
6255.284
6255.2896
6255.2954
6255.5476
6255.5588
6255.6439
6255.6531
6255.7125
6255.7677
6255.7743
6255.778
6255.7853
6255.8168
6255.8872
6255.8935
6255.9183
6255.9588
6255.9685
6255.9819
6256.004
6256.0129
6256.035
6256.1057
6256.1375
6256.2429
6256.2717
6256.3897
6256.411
6256.4822
6256.4856
6256.4911
6256.6167
6256.6224
6257.6193
6257.7768
6257.866
6257.8796
6258.1621
6258.179
6258.1851
6258.2269
6258.2495
6258.3903
6258.4701
6258.492
6258.5512
6258.5591
6258.8121
6258.9721
6258.9963
6241.7704
6241.7981
6242.0519
6254.25
6241.9414
6243.5869
6244.7163
6244.7212
6244.7269
6245.9361
6246.2909
6246.2971
6246.3034
6246.3182
6246.6645
6246.6712
6246.6806
6246.6967
6246.9888
6247.0049
6247.0983
6247.2172
6247.891
6248.4286
6249.3153
6249.326
6249.7756
6249.8264
6250.2521
6257.3034
6257.3222
6257.4449
6257.4543
6257.4639
6257.4963
6257.5093
6257.5224
6246.5727
6247.8883
6251.472
6252.0132
6252.1506
6252.2533
6252.3993
6252.6374
6252.6487
6252.901
6253.0264
6253.0383
6253.0445
6253.1235
6253.2408
6253.2564
6253.2973
6253.3498
6253.3958
6253.4091
6253.5038
6253.524
6253.6465
6253.7443
6253.7528
6253.7582
6253.8584
6253.8811
6254.0066
6254.0109
6254.0164
6254.0219
6254.1222
6254.1262
6254.2666
6254.2731
6254.3962
6254.4042
6240.7294
6240.7461
6241.2362
6241.2454
6241.7622
6241.7683
6241.8145
6241.8964
6242.0334
6243.9728
6244.9443
6244.9935
6247.5162
6247.8715
6250.4075
6250.6262
