x (m),y (m),time (sec)
-0.2176,-0.5346,7.68
-0.1913,-0.5159,7.722
-0.1726,-0.5121,7.758
-0.1501,-0.5084,7.800000000000001
-0.1313,-0.5046,7.8420000000000005
-0.1201,-0.5084,7.878
-0.08629,-0.5084,7.92
-0.06378,-0.5121,7.962000000000001
-0.04877,-0.5159,7.998
-0.02626,-0.5196,8.040000000000001
-0.01876,-0.5196,8.081999999999999
0.007503,-0.5234,8.118
0.01876,-0.5271,8.16
0.03377,-0.5309,8.202
0.04502,-0.5309,8.238
0.05252,-0.5309,8.280000000000001
0.07128,-0.5346,8.322
0.09004,-0.5346,8.358
0.105,-0.5346,8.4
0.1201,-0.5309,8.442
0.1276,-0.5271,8.478
0.1576,-0.5159,8.52
0.1763,-0.5084,8.562
0.1951,-0.4971,8.598
0.2138,-0.4821,8.639999999999999
0.2214,-0.4783,8.682
0.2476,-0.4558,8.718
0.2626,-0.4371,8.76
0.2814,-0.4221,8.802
0.2964,-0.3996,8.838
0.3039,-0.3921,8.879999999999999
0.3302,-0.362,8.922
0.3489,-0.3433,8.957999999999998
0.3639,-0.3245,9.0
0.3789,-0.3095,9.042
0.3902,-0.2983,9.078
0.4127,-0.272,9.12
0.4277,-0.2495,9.162
0.4427,-0.2307,9.198
0.4577,-0.2082,9.24
0.4615,-0.197,9.282
0.4727,-0.167,9.318
0.4727,-0.1482,9.36
0.469,-0.1294,9.402000000000001
0.4615,-0.1107,9.437999999999999
0.454,-0.1032,9.48
0.4352,-0.09192,9.522
0.4202,-0.09192,9.558
0.3977,-0.09192,9.6
0.3789,-0.09567,9.642000000000001
0.3714,-0.09567,9.678
0.3414,-0.1032,9.72
0.3226,-0.1032,9.762
0.3001,-0.1069,9.798
0.2776,-0.1069,9.84
0.2664,-0.1069,9.882000000000001
0.2326,-0.1107,9.918
0.2063,-0.1107,9.96
0.1838,-0.1107,10.001999999999999
0.1613,-0.1069,10.038
0.1426,-0.1032,10.08
0.1201,-0.09942,10.122
0.1013,-0.09567,10.158000000000001
0.08629,-0.09942,10.200000000000001
0.07128,-0.1032,10.241999999999999
0.06378,-0.1069,10.278
0.04877,-0.1219,10.319999999999999
0.04127,-0.1407,10.362
0.03752,-0.1557,10.398
0.03752,-0.1745,10.44
0.03752,-0.1857,10.482
0.04502,-0.212,10.518
0.04877,-0.227,10.559999999999999
0.05628,-0.2495,10.602
0.06378,-0.2682,10.638000000000002
0.06753,-0.2758,10.68
0.08629,-0.3058,10.722
0.09379,-0.3283,10.758
0.105,-0.347,10.799999999999999
0.1126,-0.3695,10.842
0.1126,-0.3808,10.878
0.1238,-0.4108,10.92
0.1276,-0.4296,10.962
0.1313,-0.4558,10.998
0.1313,-0.4783,11.04
0.1313,-0.4896,11.082
0.1276,-0.5234,11.118
0.1238,-0.5459,11.16
0.1163,-0.5721,11.202
0.1088,-0.5909,11.238
0.105,-0.6022,11.28
0.09004,-0.6322,11.322000000000001
0.07879,-0.6509,11.358
0.07128,-0.6734,11.4
0.06003,-0.6922,11.442
0.05628,-0.7034,11.478
0.04877,-0.7335,11.52
0.04877,-0.756,11.562000000000001
0.04877,-0.7785,11.598
0.05628,-0.7972,11.64
0.05628,-0.8047,11.682
0.07503,-0.8348,11.718
0.08629,-0.8535,11.76
0.09754,-0.8685,11.802000000000001
0.1126,-0.8798,11.838000000000001
0.1238,-0.891,11.88
0.1463,-0.906,11.921999999999999
0.1651,-0.9135,11.958
0.1876,-0.921,12.0
0.2101,-0.9248,12.042
0.2214,-0.9286,12.078000000000001
0.2514,-0.9286,12.120000000000001
0.2739,-0.9286,12.161999999999999
0.2926,-0.921,12.198
0.3114,-0.9173,12.239999999999998
0.3226,-0.9135,12.282
0.3527,-0.8985,12.318000000000001
0.3677,-0.8873,12.36
0.3864,-0.876,12.402
0.4052,-0.861,12.438
0.4164,-0.8573,12.479999999999999
0.4427,-0.8348,12.522
0.4615,-0.8198,12.558000000000002
0.4765,-0.8085,12.6
0.4952,-0.7935,12.642
0.5027,-0.786,12.677999999999999
0.529,-0.7635,12.719999999999999
0.544,-0.7485,12.762
0.5665,-0.7335,12.798
0.5853,-0.7185,12.84
0.5928,-0.711,12.882
0.6228,-0.6884,12.918
0.6415,-0.6734,12.959999999999999
0.6566,-0.6584,13.002
0.6791,-0.6434,13.038
0.6866,-0.6359,13.08
0.7128,-0.6097,13.122
0.7278,-0.5909,13.158
0.7428,-0.5759,13.2
0.7541,-0.5571,13.242
0.7654,-0.5459,13.278
0.7804,-0.5159,13.32
0.7916,-0.4934,13.362
0.7991,-0.4746,13.398
0.8066,-0.4521,13.44
0.8141,-0.4446,13.482000000000001
0.8291,-0.4146,13.518
0.8404,-0.3921,13.56
0.8516,-0.3733,13.602
0.8629,-0.3508,13.638
0.8742,-0.332,13.68
0.8892,-0.3133,13.722
0.9004,-0.2945,13.758000000000001
0.9154,-0.2758,13.8
0.9229,-0.257,13.841999999999999
0.9229,-0.2495,13.878
0.9192,-0.2382,13.92
0.9154,-0.2307,13.962
0.9117,-0.2232,13.998000000000001
0.9079,-0.212,14.040000000000001
0.9042,-0.2082,14.081999999999999
0.8967,-0.1895,14.118
0.8967,-0.1782,14.16
0.8929,-0.1632,14.202
0.8929,-0.1444,14.238000000000001
0.8929,-0.1407,14.28
0.8929,-0.1107,14.322
0.8929,-0.08817,14.358
0.8929,-0.06941,14.399999999999999
