time (µs),x,y,head direction (˚)
1650048191414851.00, 438.1391, 26.3942, 74.4948
1650048191447421.75, 437.6295, 27.1270, 76.3679
1650048191481422.00, 436.1239, 25.9247, 78.5749
1650048191519744.50, 433.1866, 25.3937, 82.8060
1650048191553599.25, 432.1164, 24.3595, 86.0049
1650048191648987.00, 432.7639, 23.6146, -99.0000
1650048191701292.50, 433.3432, 23.9474, 92.3135
1650048191750251.50, 433.2144, 24.6768, 90.2816
1650048191791077.50, 434.8067, 24.6562, 88.4602
1650048191844163.50, 435.9004, 24.6437, 89.6562
1650048191883662.50, 437.9776, 23.7324, 87.5948
1650048191926133.50, 439.9383, 23.3236, 86.3755
1650048191965279.75, 440.2947, 24.0895, 84.9269
1650048191996094.50, 440.9266, 24.4161, 83.6360
1650048192034189.75, 441.0838, 25.8458, 82.5771
1650048192068606.75, 443.5307, 25.0574, 81.3820
1650048192101045.00, 443.7188, 27.0585, 80.5786
1650048192135352.50, 443.3005, 27.5177, 80.6550
1650048192164999.75, 442.8516, 26.6026, 79.3730
1650048192196828.75, 442.8253, 26.3722, 77.9933
1650048192231320.25, 441.3755, 25.8695, 79.4336
1650048192261933.00, 440.7694, 26.4575, 80.5594
1650048192295438.00, 440.3661, 26.1711, 81.7355
1650048192325446.00, 440.0011, 26.1595, 82.1983
1650048192361963.00, 439.8056, 27.2469, 80.4166
1650048192400605.50, 439.2146, 27.1631, 79.6332
1650048192433217.25, 438.7228, 26.7540, 78.7543
1650048192464728.25, 438.6126, 26.7809, 78.3433
1650048192498179.75, 437.6691, 27.3340, 75.9958
1650048192528223.25, 437.3853, 26.9114, 75.5303
1650048192560225.75, 437.7874, 26.7143, 76.0322
1650048192591501.75, 437.6958, 26.8975, 77.0808
1650048192624192.50, 437.1552, 26.8900, 78.4840
1650048192655701.50, 437.6226, 27.4564, 79.5567
1650048192689758.75, 437.7062, 26.2937, 79.8696
1650048192720350.50, 438.1981, 27.3454, 81.1660
1650048192751997.00, 437.7207, 27.4480, 81.4193
1650048192783692.50, 437.5496, 27.8788, 82.5821
1650048192814151.75, 437.6893, 28.1620, 82.0599
1650048192850389.00, 436.8465, 29.2059, 81.5086
1650048192880758.25, 437.2446, 29.8977, 81.6760
1650048192917648.50, 434.2449, 32.6991, 82.9587
1650048192977322.00, 433.2616, 33.8395, 86.6118
1650048193033686.00, 431.1732, 36.0127, 84.3439
1650048193075440.25, 430.0116, 37.4024, 81.8839
1650048193107196.75, 431.4891, 38.1598, 77.8559
1650048193139435.50, 430.2169, 39.5094, 75.0833
1650048193174069.25, 430.2450, 39.7282, 82.4150
1650048193207209.50, 429.9503, 40.2939, 89.7248
1650048193238432.50, 430.3384, 40.9453, 95.1747
1650048193280131.00, 430.3653, 40.5504, 108.7813
1650048193349210.25, 430.7411, 41.1729, 113.2039
1650048193477898.50, 432.7607, 43.3503, 245.0754
1650048193517347.25, 432.7782, 53.9872, 145.3149
1650048193551254.50, 432.5090, 61.2506, 151.1252
1650048193587646.25, 433.3829, 69.3257, 156.4003
1650048193623550.25, 434.1321, 73.1100, 156.2121
1650048193659025.75, 434.2443, 78.8915, 156.2517
1650048193696661.00, 432.5685, 80.8492, 155.9282
1650048193734120.50, 433.5884, 80.8701, 157.0891
1650048193786498.25, 433.5272, 83.5952, 157.6735
1650048193824678.75, 432.5632, 82.4746, 155.9672
1650048193860462.00, 429.3916, 78.8239, 156.6056
1650048193896476.25, 428.7609, 75.7374, 157.4781
1650048193935544.00, 430.1354, 74.6970, 157.3213
1650048194018817.75, 429.7143, 72.4626, -99.0000
1650048194076639.75, 435.2886, 73.3042, 157.0774
1650048194114780.00, 438.9064, 74.5736, 157.3280
1650048194175770.25, 441.6821, 76.4347, 160.8095
1650048194215558.75, 442.0679, 78.8669, 162.0240
1650048194282806.75, 441.4880, 79.9255, 163.2177
1650048194322467.75, 440.7774, 81.9547, 165.3444
1650048194358552.00, 438.8836, 85.3833, 167.8281
1650048194398160.25, 436.0967, 89.7020, 175.2067
1650048194474834.75, 432.0355, 94.5899, -99.0000
1650048194549314.75, 423.4268, 102.1941, -99.0000
1650048194590371.75, 413.8891, 105.5251, 200.7946
1650048194632991.50, 411.2519, 106.3048, 200.0273
1650048194664787.75, 408.5971, 108.5793, 201.3735
