time,x,y,head direction
1648415067327984.50, 535.6852, 345.1421, 61.0334
1648415067373013.75, 534.4595, 341.7100, 61.8230
1648415067404829.75, 534.3093, 338.0574, 61.9651
1648415067448733.25, 532.6863, 337.2413, 59.4995
1648415067484417.00, 530.4040, 334.7580, 54.4873
1648415067524337.50, 529.1526, 330.0469, 46.5050
1648415067570645.00, 528.4773, 328.1095, 41.0799
1648415067611561.25, 523.6804, 324.6940, 27.6813
1648415067649706.00, 521.5074, 323.9367, 22.8682
1648415067689417.75, 517.9035, 319.2969, 18.8476
1648415067732927.00, 514.4842, 316.9840, 11.9111
1648415067771313.75, 511.6776, 313.0070, 9.7467
1648415067808439.75, 512.2992, 307.6070, 12.1607
1648415067855091.25, 512.7911, 305.7034, 11.0779
1648415067898369.00, 517.1729, 302.0192, 23.0449
1648415067937059.00, 522.6453, 299.9538, 32.6277
1648415067989539.75, 527.5240, 296.9318, 35.9655
1648415068029099.25, 529.0990, 293.2759, 35.8915
1648415068068668.25, 530.4370, 288.7170, 34.2288
1648415068102160.50, 530.6411, 284.3180, 29.2218
1648415068138834.25, 529.9503, 280.3501, 22.1089
1648415068177871.50, 529.2096, 277.8983, 20.7776
1648415068208321.50, 527.9294, 274.7839, 19.7003
1648415068246181.75, 527.3219, 272.8039, 18.1772
1648415068281395.25, 527.6483, 267.9778, 19.0598
1648415068317690.00, 528.6009, 265.2269, 23.7983
1648415068348001.75, 529.3036, 263.1386, 24.6245
1648415068393991.75, 530.8182, 259.3713, 29.5233
1648415068431194.50, 531.6624, 256.9203, 30.6266
1648415068464161.75, 531.6176, 254.3021, 31.3305
1648415068504950.50, 529.6891, 249.6991, 23.6750
1648415068544781.00, 526.9001, 246.1342, 16.5272
1648415068581168.25, 525.4146, 243.5951, 12.5735
1648415068618711.75, 522.7520, 238.3917, 7.2518
1648415068659539.25, 520.0087, 235.1195, 359.6065
1648415068696282.50, 517.1553, 229.8496, 359.5984
1648415068739487.25, 516.4185, 227.8864, 359.6649
1648415068770060.50, 515.0569, 224.1765, 3.1107
1648415068802148.25, 512.0995, 220.1894, 1.3640
1648415068847142.75, 512.7090, 220.3250, 359.7950
1648415068936782.75, 508.5529, 218.1336, 359.7886
1648415068989932.50, 499.1366, 212.2146, 342.1512
