0
upper
lower
lower
middle
middle
middle
lower
lower
middle
lower
middle
middle
middle
upper
upper
middle
lower
middle
upper
upper
middle
upper
middle
middle
lower
lower
middle
lower
upper
upper
lower
middle
middle
lower
lower
lower
middle
middle
upper
upper
upper
upper
lower
lower
upper
middle
upper
lower
upper
upper
upper
middle
upper
upper
lower
lower
middle
upper
lower
lower
