CAR spike times (ms)
159.0
176.0
186.0
272.0
275.0
277.0
322.0
374.0
543.0
761.0
826.0
900.0
999.0
304.0
355.0
385.0
396.0
413.0
624.0
755.0
761.0
977.0
10.0
65.0
72.0
154.0
221.0
235.0
287.0
310.0
335.0
498.0
501.0
537.0
602.0
689.0
824.0
907.0
948.0
967.0
17.0
31.0
137.0
151.0
171.0
290.0
403.0
449.0
566.0
679.0
784.0
792.0
840.0
857.0
875.0
885.0
983.0
134.0
197.0
300.0
386.0
533.0
597.0
680.0
732.0
750.0
756.0
770.0
775.0
797.0
837.0
840.0
903.0
916.0
4.0
192.0
271.0
312.0
403.0
408.0
463.0
548.0
729.0
802.0
842.0
171.0
192.0
345.0
402.0
430.0
435.0
508.0
622.0
645.0
694.0
801.0
812.0
960.0
25.0
45.0
52.0
72.0
90.0
189.0
391.0
505.0
780.0
839.0
873.0
894.0
924.0
946.0
988.0
176.0
196.0
246.0
287.0
353.0
489.0
518.0
559.0
562.0
609.0
724.0
736.0
794.0
823.0
974.0
983.0
22.0
252.0
417.0
419.0
565.0
836.0
917.0
924.0
964.0
969.0
77.0
89.0
100.0
178.0
272.0
473.0
692.0
725.0
777.0
813.0
858.0
941.0
994.0
141.0
193.0
242.0
282.0
291.0
310.0
383.0
484.0
494.0
636.0
755.0
765.0
785.0
794.0
813.0
837.0
847.0
920.0
962.0
997.0
42.0
185.0
284.0
293.0
302.0
320.0
430.0
439.0
470.0
542.0
551.0
629.0
754.0
74.0
164.0
304.0
442.0
510.0
555.0
659.0
863.0
966.0
133.0
252.0
287.0
291.0
314.0
317.0
320.0
323.0
329.0
349.0
399.0
479.0
529.0
532.0
565.0
626.0
697.0
867.0
79.0
87.0
138.0
151.0
231.0
236.0
244.0
259.0
277.0
523.0
529.0
585.0
599.0
734.0
769.0
822.0
840.0
938.0
945.0
951.0
960.0
973.0
0.0
43.0
49.0
57.0
131.0
162.0
181.0
238.0
283.0
290.0
293.0
512.0
608.0
725.0
843.0
882.0
945.0
6.0
45.0
170.0
186.0
287.0
300.0
422.0
537.0
631.0
821.0
827.0
844.0
878.0
908.0
922.0
926.0
951.0
5.0
53.0
61.0
69.0
142.0
334.0
375.0
379.0
550.0
577.0
586.0
703.0
774.0
788.0
803.0
947.0
62.0
342.0
358.0
379.0
425.0
449.0
469.0
528.0
571.0
613.0
619.0
674.0
698.0
708.0
717.0
774.0
787.0
793.0
960.0
978.0
981.0
119.0
158.0
194.0
309.0
336.0
340.0
384.0
390.0
403.0
427.0
526.0
552.0
563.0
591.0
619.0
632.0
639.0
680.0
711.0
838.0
871.0
891.0
924.0
939.0
977.0
988.0
994.0
41.0
50.0
148.0
166.0
188.0
216.0
453.0
471.0
476.0
487.0
579.0
647.0
684.0
705.0
712.0
734.0
736.0
786.0
798.0
844.0
885.0
898.0
929.0
964.0
195.0
225.0
505.0
531.0
575.0
592.0
597.0
599.0
646.0
704.0
728.0
805.0
834.0
877.0
923.0
931.0
934.0
954.0
955.0
985.0
995.0
999.0
2.0
315.0
496.0
548.0
555.0
655.0
670.0
705.0
714.0
725.0
762.0
772.0
784.0
819.0
871.0
944.0
951.0
985.0
44.0
53.0
57.0
251.0
257.0
279.0
302.0
322.0
341.0
348.0
368.0
370.0
434.0
437.0
439.0
633.0
670.0
715.0
725.0
730.0
734.0
747.0
777.0
778.0
791.0
819.0
823.0
839.0
851.0
878.0
978.0
206.0
356.0
363.0
392.0
407.0
477.0
480.0
503.0
