RATING,
enjoy,
don't enjoy,
indifferent,
enjoy,
enjoy,
love,
don't enjoy,
enjoy,
hate,
don't enjoy,
love,
indifferent,
hate,
indifferent,
hate,
love,
indifferent,
enjoy,
don't enjoy,
hate,
love,
love,
don't enjoy,
don't enjoy,
enjoy,
hate,
indifferent,
don't enjoy,
indifferent,
indifferent,
don't enjoy,
hate,
love,
indifferent,
don't enjoy,
hate,
indifferent,
indifferent,
hate,
love,
hate,
hate,
enjoy,
hate,
indifferent,
love,
love,
indifferent,
don't enjoy,
indifferent,
hate,
don't enjoy,
love,
indifferent,
love,
don't enjoy,
enjoy,
enjoy,
don't enjoy,
love,
hate,
indifferent,
enjoy,
enjoy,
don't enjoy,
love,
indifferent,
indifferent,
hate,
hate,
hate,
don't enjoy,
enjoy,
enjoy,
hate,
don't enjoy,
don't enjoy,
hate,
indifferent,
enjoy,
love,
enjoy,
hate,
indifferent,
love,
indifferent,
don't enjoy,
hate,
love,
hate,
don't enjoy,
enjoy,
hate,
enjoy,
love,
indifferent,
hate,
don't enjoy,
indifferent,
don't enjoy,
don't enjoy,
hate,
enjoy,
hate,
enjoy,
hate,
don't enjoy,
hate,
indifferent,
hate,
hate,
hate,
hate,
indifferent,
hate,
love,
hate,
hate,
indifferent,
don't enjoy,
hate,
enjoy,
enjoy,
hate,
love,
don't enjoy,
hate,
don't enjoy,
hate,
hate,
enjoy,
indifferent,
enjoy,
hate,
love,
indifferent,
enjoy,
hate,
hate,
indifferent,
hate,
indifferent,
hate,
enjoy,
love,
don't enjoy,
indifferent,
don't enjoy,
enjoy,
don't enjoy,
don't enjoy,
enjoy,
love,
don't enjoy,
enjoy,
love,
enjoy,
love,
enjoy,
don't enjoy,
love,
don't enjoy,
don't enjoy,
love,
don't enjoy,
hate,
enjoy,
hate,
love,
indifferent,
hate,
love,
indifferent,
enjoy,
hate,
don't enjoy,
indifferent,
indifferent,
indifferent,
enjoy,
love,
don't enjoy,
hate,
indifferent,
hate,
hate,
don't enjoy,
don't enjoy,
love,
indifferent,
hate,
indifferent,
indifferent,
indifferent,
love,
hate,
enjoy,
love,
hate,
enjoy,
indifferent,
love,
indifferent,
hate,
hate,
love,
love,
indifferent,
hate,
love,
don't enjoy,
love,
hate,
hate,
love,
enjoy,
hate,
indifferent,
love,
indifferent,
enjoy,
hate,
hate,
enjoy,
indifferent,
indifferent,
don't enjoy,
hate,
hate,
hate,
enjoy,
enjoy,
love,
hate,
hate,
don't enjoy,
indifferent,
love,
hate,
indifferent,
indifferent,
hate,
don't enjoy,
love,
love,
enjoy,
hate,
enjoy,
enjoy,
indifferent,
love,
don't enjoy,
love,
hate,
hate,
don't enjoy,
indifferent,
enjoy,
hate,
indifferent,
love,
hate,
enjoy,
love,
indifferent,
don't enjoy,
don't enjoy,
hate,
enjoy,
indifferent,
enjoy,
indifferent,
indifferent,
indifferent,
enjoy,
enjoy,
love,
enjoy,
indifferent,
hate,
hate,
indifferent,
don't enjoy,
enjoy,
indifferent,
enjoy,
indifferent,
love,
indifferent,
don't enjoy,
don't enjoy,
don't enjoy,
hate,
indifferent,
indifferent,
love,
don't enjoy,
don't enjoy,
love,
don't enjoy,
hate,
indifferent,
hate,
hate,
hate,
indifferent,
hate,
indifferent,
love,
indifferent,
enjoy,
enjoy,
enjoy,
enjoy,
hate,
don't enjoy,
love,
indifferent,
hate,
don't enjoy,
love,
hate,
don't enjoy,
don't enjoy,
hate,
love,
indifferent,
enjoy,
enjoy,
hate,
don't enjoy,
indifferent,
don't enjoy,
enjoy,
love,
love,
don't enjoy,
enjoy,
hate,
don't enjoy,
love,
hate,
don't enjoy,
hate,
hate,
indifferent,
hate,
hate,
love,
indifferent,
enjoy,
don't enjoy,
enjoy,
hate,
don't enjoy,
indifferent,
don't enjoy,
don't enjoy,
hate,
hate,
love,
don't enjoy,
hate,
don't enjoy,
hate,
love,
don't enjoy,
love,
love,
