1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
64,65,74,74,84,77,83,76,50,72,68,83,76,74,71,60,80,53,67,63,64,56,78,55,65,73,77,78,72,68,52,72,77,81,68,72,67,56,86,78,57,67,75,80,68,73,54,79,72,58,70,70,50,81,61,66,68,83,53,67,67,65,70,79,74,73,55,73,80,96,63,71,76,79,83,74,69,92,75,75,60,84,87,78
69,71,74,82,67,71,83,82,62,80,71,73,81,64,71,58,70,73,71,68,62,73,78,65,83,73,80,77,74,72,49,65,83,82,67,69,69,71,78,66,57,80,70,76,60,76,58,82,74,66,73,73,61,81,80,75,71,78,53,74,75,76,63,63,78,78,55,79,71,84,85,57,79,82,86,64,77,92,79,89,63,69,83,84
64,74,60,78,76,65,73,72,68,78,76,77,86,68,80,60,78,64,79,69,68,60,74,66,81,74,78,76,78,77,55,61,81,84,74,80,65,63,81,75,73,75,74,86,58,79,65,78,73,57,84,79,78,74,66,78,76,82,73,75,74,84,52,67,70,75,65,67,75,75,85,72,85,80,84,68,77,81,83,85,68,75,77,72
74,82,40,74,81,70,82,68,52,80,63,83,61,69,82,79,81,77,82,42,68,53,70,69,85,77,51,73,75,71,77,58,86,89,76,82,78,69,80,78,76,73,69,86,64,80,69,80,78,60,78,77,67,75,71,86,81,80,78,80,71,51,48,78,71,83,76,68,78,78,83,69,88,79,90,83,81,79,84,84,71,81,73,75
77,77,46,78,70,72,75,68,56,78,69,66,59,75,83,78,63,80,69,59,72,70,56,70,76,69,43,75,73,72,84,64,65,82,80,90,80,78,80,80,70,66,66,87,66,83,67,65,77,54,76,67,77,84,75,82,82,67,67,68,68,72,58,74,77,76,78,75,79,76,83,75,86,75,85,72,83,79,85,82,72,83,71,80
77,71,62,74,64,63,70,70,68,79,68,76,69,86,81,75,84,71,75,66,84,75,65,81,75,80,48,81,80,71,71,48,71,82,71,83,80,81,75,78,74,69,71,81,54,67,75,64,80,69,85,68,72,71,65,83,85,67,80,64,71,71,68,63,65,81,78,77,75,70,82,62,80,79,73,76,71,62,85,75,78,85,73,80
79,64,64,68,63,66,76,68,75,81,80,71,82,84,82,83,70,68,77,71,63,81,80,73,71,62,62,80,80,67,73,51,82,73,71,57,78,91,72,85,71,88,79,76,55,74,62,70,77,77,52,77,80,69,71,77,83,64,86,66,73,78,76,73,73,78,79,68,80,76,79,61,85,70,80,80,61,64,85,78,80,72,76,80
81,77,69,74,66,65,75,67,73,81,73,77,84,91,81,75,59,74,82,73,70,80,75,74,68,61,73,76,73,50,72,66,96,84,69,70,83,72,67,80,76,73,67,70,52,77,72,73,78,79,64,80,75,64,69,81,87,74,82,73,76,71,78,58,64,74,75,56,73,79,83,73,84,71,85,77,78,68,83,81,81,55,73,66
80,80,75,75,65,65,78,77,85,72,79,85,89,57,81,78,73,63,69,78,77,81,78,79,72,65,75,62,76,64,76,75,74,82,68,80,82,73,68,74,66,77,66,59,55,78,75,74,73,75,72,79,76,73,71,77,92,80,82,80,77,81,77,72,77,74,75,57,76,80,79,77,90,83,80,61,80,78,85,81,75,67,82,71
77,75,74,74,63,70,78,74,74,86,82,84,66,50,79,82,85,71,55,53,82,80,79,80,78,79,53,63,75,65,66,79,57,80,74,39,75,72,59,65,70,86,71,73,55,81,81,75,69,77,77,67,80,65,76,78,74,69,80,80,70,76,66,80,77,73,81,63,82,66,77,65,86,80,61,66,83,82,83,84,83,84,72,77
81,66,62,83,64,77,76,70,72,85,75,87,70,66,82,79,87,80,63,54,81,80,71,72,79,79,44,63,80,72,61,78,67,88,72,46,81,80,66,62,76,73,67,72,69,74,81,77,62,86,75,47,81,72,84,75,80,82,68,78,66,87,62,68,74,71,82,72,76,69,72,69,87,81,61,69,84,70,84,77,82,92,75,86
90,50,62,71,68,79,84,68,78,75,72,88,56,73,73,79,41,83,67,65,78,64,84,78,76,80,58,72,81,75,67,61,74,78,71,65,73,81,69,71,80,60,78,59,73,78,75,78,65,83,77,47,79,80,73,81,80,68,70,80,70,85,58,65,77,79,61,76,70,79,77,73,86,82,66,66,70,73,86,88,79,91,84,91
92,56,60,64,76,81,83,70,82,82,75,75,67,71,83,82,45,85,78,71,72,56,85,82,82,63,62,66,87,76,74,68,79,83,70,77,87,83,73,76,73,63,76,49,68,84,80,80,79,75,77,65,80,78,78,72,70,48,69,84,67,87,51,72,82,80,62,68,81,85,82,82,73,82,71,82,82,74,86,82,79,88,87,88
84,72,65,70,81,71,81,80,68,70,76,81,80,58,81,86,61,91,61,68,66,74,86,81,85,74,70,73,96,75,79,65,98,89,76,88,73,72,81,78,73,63,77,60,65,96,80,82,77,79,80,78,81,70,80,64,61,46,86,82,76,84,50,83,66,80,77,66,82,85,68,72,64,81,76,89,84,74,86,72,80,89,76,87
56,80,63,75,79,70,78,87,71,68,81,73,63,69,82,90,67,74,69,75,73,74,76,81,82,76,80,67,89,74,81,65,76,92,79,89,44,73,83,74,72,81,81,68,72,70,75,79,51,80,83,71,68,66,83,72,57,70,80,82,64,83,64,78,59,78,77,79,77,73,76,76,71,73,80,77,84,75,84,86,80,81,78,80
67,78,72,76,79,56,75,96,68,77,78,73,73,74,78,72,76,81,67,69,80,87,53,66,88,76,55,80,85,77,77,73,77,64,75,92,59,89,77,78,71,73,87,84,71,71,73,81,53,72,88,69,66,81,83,68,66,71,72,83,67,91,59,83,70,77,85,84,72,76,84,80,69,81,86,79,80,69,82,74,71,81,80,80
88,86,84,67,78,69,63,90,70,90,69,74,75,76,84,65,79,85,66,71,84,82,63,66,84,74,63,87,82,82,77,78,82,65,79,90,70,70,67,80,68,77,80,87,80,71,70,82,73,61,70,70,69,72,77,72,62,87,65,74,67,74,75,71,76,84,85,82,79,82,74,83,82,84,80,85,82,77,86,83,59,70,73,79
91,86,79,74,80,73,70,85,85,86,61,84,82,88,81,68,73,82,83,68,74,84,69,66,83,75,69,86,82,81,80,78,76,68,74,89,78,72,67,83,74,79,88,75,78,75,78,82,77,73,78,78,75,70,74,75,73,72,66,78,70,74,76,81,79,87,69,88,84,78,77,79,93,88,87,86,83,86,76,82,64,75,72,82
98,84,83,80,83,77,86,81,84,70,65,81,71,83,73,83,84,82,80,73,84,79,77,66,85,72,75,80,84,66,79,67,71,77,78,86,68,80,83,80,58,80,75,90,70,72,80,81,60,83,85,76,74,65,70,76,74,73,68,77,79,70,76,86,80,85,74,90,85,79,73,81,86,87,76,82,84,66,77,84,74,78,73,88
89,80,80,82,83,71,76,83,77,73,59,87,73,80,74,75,85,88,76,85,81,73,81,69,77,76,82,88,85,76,80,72,74,84,67,86,64,77,88,85,58,72,83,78,76,83,83,75,63,84,90,77,80,52,66,74,70,74,68,81,81,60,79,63,82,73,75,85,84,78,81,84,87,86,57,82,86,74,90,82,70,70,66,87
90,84,76,80,82,65,67,83,77,76,51,71,80,77,75,86,87,84,81,89,81,68,82,69,69,87,82,70,83,81,79,73,65,85,65,69,68,77,72,85,65,77,79,73,80,79,79,84,67,87,79,81,82,66,64,78,66,77,80,73,72,68,78,64,85,81,77,86,74,81,87,82,75,86,62,74,69,79,89,71,92,74,75,80
87,87,81,75,83,76,56,82,78,82,68,68,82,70,72,88,86,86,70,77,84,81,73,71,55,74,83,69,89,67,83,69,69,75,65,71,71,74,73,79,78,74,76,92,68,74,76,85,55,84,77,82,70,75,63,83,71,82,78,76,83,72,81,68,84,75,80,87,73,71,71,84,78,85,73,65,69,83,75,78,83,53,83,96
58,70,74,81,82,78,64,87,86,86,82,68,72,77,75,87,82,85,76,77,85,83,63,61,68,81,76,79,90,66,77,80,67,80,55,77,71,63,79,83,79,80,77,67,65,74,82,76,63,83,86,71,72,68,72,66,74,59,72,71,83,79,81,64,90,75,77,88,69,77,65,81,88,92,82,61,85,82,79,84,73,67,87,81
61,66,80,70,80,77,69,88,77,92,87,73,72,82,87,89,66,90,83,72,81,89,68,74,77,84,79,81,88,77,82,78,74,87,66,91,71,73,80,82,70,84,80,69,64,74,74,86,70,76,89,67,79,77,72,72,80,62,76,86,83,84,79,74,83,70,82,93,50,87,77,77,84,84,84,72,87,82,81,64,70,80,89,78
80,70,81,63,82,73,77,87,80,92,81,81,76,84,89,78,70,73,71,76,71,89,75,82,84,73,81,77,89,82,78,70,81,97,57,76,78,75,78,77,80,92,76,90,59,74,62,93,74,83,91,61,85,83,72,80,84,71,66,83,88,87,84,87,67,87,80,76,52,88,89,72,93,85,77,77,79,85,82,66,89,89,92,79
87,74,80,67,84,73,81,88,84,92,77,83,76,82,91,76,59,75,67,78,52,85,70,80,98,60,81,83,89,82,83,69,79,85,60,76,81,73,78,82,70,77,85,61,71,82,74,69,79,74,63,73,82,80,80,81,84,84,72,78,87,68,83,77,73,79,84,82,60,90,95,75,94,83,86,84,87,80,81,65,90,95,92,88
87,77,79,71,82,82,76,86,81,89,69,83,83,69,80,82,75,71,76,72,58,76,74,83,94,71,83,81,90,71,85,70,81,76,61,75,74,76,81,72,73,78,82,55,83,90,63,56,88,61,57,81,79,77,85,85,81,91,71,78,87,75,83,77,76,84,82,83,76,77,74,80,93,83,74,87,74,77,80,78,93,93,82,88
77,80,82,76,87,85,77,78,80,86,62,77,64,58,84,86,84,70,69,71,54,79,84,74,87,77,82,81,83,76,77,82,85,85,66,78,72,71,80,67,81,82,79,70,81,89,70,74,89,60,62,74,79,79,85,80,70,85,70,79,85,76,80,83,79,82,78,84,80,86,64,69,84,84,68,85,70,79,72,82,84,75,90,84
76,74,78,76,80,77,81,76,74,92,76,81,67,60,70,85,85,78,68,61,62,76,75,74,81,82,84,89,83,75,76,90,86,88,73,84,71,80,80,65,83,83,86,86,82,87,78,89,82,70,56,76,85,83,83,72,83,83,58,79,82,80,78,84,82,54,82,85,81,81,83,79,86,85,81,85,82,89,78,86,79,76,90,92
78,54,77,77,85,76,80,78,56,90,86,67,76,80,71,86,76,87,46,68,62,77,80,82,82,86,82,72,77,70,71,74,83,92,76,89,60,81,76,77,77,72,87,98,80,82,77,87,76,76,56,75,86,84,79,84,82,85,58,84,81,69,80,83,82,65,86,87,84,75,76,80,87,86,78,78,87,73,82,88,68,87,84,95
81,70,72,78,69,73,80,82,54,73,82,64,87,70,70,76,86,88,58,69,62,76,94,82,85,79,84,68,86,82,76,76,80,93,69,70,70,78,74,79,83,51,82,85,67,90,81,78,77,81,65,80,84,83,78,84,81,90,67,83,88,76,85,81,84,67,79,89,63,76,82,77,88,83,87,73,77,72,84,72,75,65,84,83
83,80,78,80,72,85,80,77,74,74,63,68,82,72,76,87,88,87,64,81,59,77,67,83,78,82,82,78,90,80,82,71,79,90,70,63,82,79,68,82,84,73,78,83,67,81,90,78,88,84,76,79,82,81,72,83,82,88,69,82,69,72,90,85,81,75,76,90,74,75,83,75,84,80,88,65,83,77,84,78,82,66,73,83
81,88,74,80,76,88,80,73,60,84,74,62,70,77,75,74,84,81,73,78,70,84,72,77,85,84,77,81,86,80,82,75,71,89,69,78,79,79,67,83,83,85,80,83,73,76,87,80,90,82,82,80,84,81,74,79,79,75,76,81,67,82,84,87,91,78,79,95,73,80,76,73,82,77,85,73,81,79,84,84,84,70,69,83
71,80,86,82,77,79,82,72,66,87,75,73,76,78,80,82,89,89,82,78,76,84,79,84,86,72,81,74,80,81,77,81,79,89,72,80,83,78,74,82,70,90,84,79,77,79,84,79,93,73,84,81,80,82,78,80,82,79,78,71,74,87,73,87,83,78,77,99,67,77,66,77,88,76,85,67,75,75,80,87,84,79,66,88
70,84,75,77,75,85,83,77,78,85,81,80,85,70,74,82,88,75,86,77,82,74,83,79,87,82,89,83,83,79,76,80,86,89,79,79,90,78,79,86,82,82,80,73,85,86,83,74,89,85,85,74,85,70,83,83,81,84,66,75,78,86,69,87,81,82,74,98,77,84,82,70,95,84,75,78,77,78,82,83,76,74,70,79
83,63,76,80,75,70,76,78,80,86,70,65,98,77,66,83,85,73,82,81,83,75,84,85,85,84,82,85,88,81,81,77,82,89,86,80,77,70,82,77,80,77,86,89,81,89,76,87,89,83,83,81,85,79,86,81,85,95,75,79,85,80,75,85,75,80,79,91,79,77,80,63,93,83,69,78,89,75,85,78,77,63,77,71
92,78,71,82,76,78,69,77,76,85,61,70,87,70,70,84,87,70,83,78,83,81,81,83,86,86,86,83,90,81,77,86,73,89,83,76,78,74,74,75,82,79,90,70,68,97,83,80,88,75,83,86,76,76,75,77,83,97,83,78,85,87,78,87,79,81,81,78,80,86,84,77,90,86,73,75,73,81,88,72,84,94,85,86
76,84,61,67,76,89,70,78,83,86,65,74,89,80,78,86,90,75,78,82,64,85,85,82,87,85,85,71,88,81,82,86,85,89,75,84,71,80,75,81,69,83,84,60,75,94,78,87,74,87,85,87,78,77,73,87,86,81,89,74,79,86,84,84,83,79,80,84,79,80,93,82,92,77,78,84,81,81,89,73,85,87,68,80
83,88,63,78,84,82,73,73,85,86,81,81,74,78,83,81,90,67,85,90,67,87,85,77,93,81,85,69,86,78,83,86,85,81,74,77,85,78,78,72,77,83,78,56,83,90,84,83,78,84,86,87,86,80,77,85,82,90,77,81,87,82,82,86,67,80,88,88,72,86,94,73,94,81,85,87,81,83,73,79,80,87,67,91
86,91,62,69,87,88,81,78,82,83,80,76,82,71,82,84,93,81,73,93,77,85,86,68,82,84,85,79,85,77,83,84,84,84,76,81,84,83,80,80,78,81,73,66,79,81,87,86,85,89,85,85,80,83,83,86,66,76,80,83,89,83,73,87,80,85,73,88,77,92,85,88,94,91,79,87,85,84,77,87,80,81,72,89
85,76,66,77,87,80,76,68,84,86,77,84,86,76,86,86,91,73,74,76,81,85,85,79,81,87,84,73,82,70,82,81,84,86,79,81,88,80,82,89,84,83,75,58,79,85,81,86,86,91,84,85,78,83,83,85,69,80,75,85,83,98,74,90,96,81,70,84,76,90,81,82,92,82,65,88,85,83,82,87,70,90,84,91
90,64,76,84,88,81,86,76,58,84,71,74,80,76,80,85,92,81,84,66,81,79,92,81,91,87,84,80,90,75,81,85,81,86,81,81,88,86,77,80,86,86,79,85,80,90,83,84,84,90,86,81,88,86,90,84,76,86,66,79,79,88,78,83,88,73,72,80,82,88,87,84,92,88,70,88,93,79,90,89,88,98,89,75
85,71,65,84,89,72,71,82,59,82,80,77,85,70,83,84,91,82,82,76,82,76,80,83,86,81,74,83,84,77,75,85,87,83,74,80,87,83,79,77,75,82,83,80,75,82,83,87,86,86,86,72,87,74,82,92,80,95,59,75,79,87,80,87,89,70,79,75,82,85,81,88,96,92,79,86,86,88,91,78,83,81,87,77
84,85,63,76,85,89,73,83,68,89,83,85,85,77,80,82,80,86,71,83,79,83,93,78,83,81,69,90,75,84,79,81,95,76,69,82,85,80,82,81,80,73,85,78,84,96,83,83,89,97,86,90,84,78,79,88,74,89,57,73,88,90,80,89,89,80,88,77,80,83,74,78,87,94,85,96,85,86,86,80,86,87,80,78
85,71,72,82,84,79,83,77,77,91,78,80,83,81,75,83,94,85,76,80,88,82,88,90,84,88,71,82,84,86,72,83,85,76,76,85,73,80,82,83,78,78,83,84,85,88,82,89,91,81,85,84,84,82,79,78,82,89,77,73,87,90,80,93,86,83,89,87,85,70,84,81,83,90,87,93,65,90,95,86,86,90,85,88
79,79,78,82,86,82,79,82,78,90,81,79,86,81,84,87,90,91,75,74,87,84,81,88,89,83,77,83,85,78,75,85,87,71,76,83,84,81,81,78,69,81,89,83,79,87,83,84,89,85,87,93,81,83,73,85,88,92,86,78,88,87,82,93,82,72,94,82,84,78,82,85,90,91,86,84,77,87,92,84,85,93,75,86
81,85,84,80,87,78,78,82,86,90,83,71,85,80,90,85,89,89,77,61,87,76,89,85,80,77,80,83,90,78,71,77,78,83,75,77,82,64,74,86,75,87,92,73,80,93,85,86,86,74,82,88,85,83,79,73,86,73,84,87,82,85,82,92,87,81,72,88,73,81,87,88,93,88,84,75,83,84,78,80,83,85,75,91
85,90,82,80,91,81,82,84,90,86,91,69,82,85,85,88,92,88,78,77,84,68,88,73,67,79,78,68,86,80,76,69,84,89,77,77,78,73,81,81,75,78,86,81,85,78,84,80,83,71,83,84,86,80,83,60,81,79,81,92,75,87,85,95,88,84,74,90,83,85,88,83,95,85,89,77,84,86,91,81,83,89,76,87
83,79,74,81,90,81,87,84,85,94,87,84,87,79,89,76,91,84,80,74,78,69,71,79,80,87,80,64,76,84,81,66,90,88,73,88,79,73,83,76,76,77,73,81,90,85,82,73,87,79,85,82,79,85,75,69,72,84,93,88,74,75,88,86,90,75,77,88,81,86,86,87,55,89,75,83,83,78,92,90,79,90,89,85
78,89,76,82,92,78,68,80,91,94,84,87,85,84,78,67,89,73,76,74,85,72,85,80,87,95,83,74,71,87,79,78,89,80,74,90,82,81,81,69,80,82,77,85,80,88,82,80,82,71,81,83,83,85,85,71,83,77,77,84,85,78,86,84,81,75,75,90,83,88,85,91,75,88,71,94,84,70,95,88,82,93,94,93
80,91,85,81,89,72,73,82,95,92,84,89,90,86,70,73,83,83,67,82,87,76,88,83,89,90,81,66,75,83,77,80,87,82,77,84,85,82,85,76,66,80,79,85,84,95,82,75,82,83,89,74,82,86,80,78,89,88,79,86,94,84,83,88,92,84,77,88,84,78,82,92,83,93,85,91,84,78,79,75,83,95,84,92
81,89,75,87,89,64,79,79,94,88,84,76,90,89,75,79,88,86,70,81,84,84,83,85,83,87,82,71,86,82,80,84,90,85,74,77,79,78,79,89,75,82,81,79,84,100,83,83,85,84,84,76,75,83,72,82,86,88,79,86,91,87,84,92,89,82,81,86,82,83,88,95,86,93,79,92,83,87,86,86,86,97,82,88
84,89,88,81,84,73,86,81,91,90,85,89,91,89,84,82,93,88,73,83,87,84,89,87,82,81,82,72,89,82,79,82,82,74,78,77,85,75,85,78,82,84,84,77,86,100,84,88,83,86,87,82,76,87,85,83,88,88,77,94,84,87,88,92,82,82,83,83,86,73,92,92,90,96,76,87,87,89,91,90,76,86,89,95
86,87,88,63,88,80,96,80,87,79,84,88,68,87,90,86,95,87,67,85,85,76,92,87,86,76,86,80,91,79,83,82,89,78,82,78,88,84,84,89,85,88,86,75,93,99,87,80,81,85,85,80,81,79,83,85,83,81,78,102,85,90,85,91,90,83,81,81,86,85,91,96,94,93,87,88,83,86,88,91,87,87,87,97
90,83,87,74,90,82,84,81,88,82,85,86,79,87,91,87,91,91,81,86,86,77,84,86,86,82,82,82,99,76,78,85,83,77,86,86,78,70,82,91,85,86,83,82,82,97,90,84,80,79,90,83,73,75,82,85,80,85,83,89,90,90,83,92,94,82,69,84,86,90,97,76,98,92,86,84,79,85,84,88,78,84,91,98
90,86,88,81,88,80,86,84,80,84,90,87,89,90,89,85,91,93,77,87,85,84,80,87,90,90,83,88,94,83,74,86,83,78,89,87,83,73,83,90,81,74,89,82,71,82,85,80,83,96,90,96,84,78,81,87,89,85,70,97,87,91,84,93,91,81,86,93,84,91,93,77,99,70,78,86,85,73,76,88,87,86,90,97
94,78,87,83,80,80,81,85,75,87,79,84,87,94,85,87,81,92,85,88,78,86,85,87,93,85,81,82,96,83,81,86,91,82,85,75,83,66,83,90,85,78,78,79,83,86,88,78,85,93,77,80,84,73,80,86,89,88,75,90,77,86,85,93,89,84,86,90,83,97,93,87,95,83,88,91,87,87,83,90,68,79,80,94
95,83,82,75,90,83,89,76,82,86,82,74,82,77,86,80,85,91,83,91,83,84,87,86,92,90,76,80,99,77,83,86,73,70,88,83,79,80,71,88,77,78,81,82,84,88,88,89,81,90,75,84,87,82,87,84,74,88,77,90,84,90,87,92,85,87,83,83,85,95,93,91,92,73,83,93,79,91,88,90,66,82,76,94
91,86,82,84,91,78,88,64,85,76,85,80,83,80,85,71,88,93,87,88,86,79,88,87,91,86,82,82,98,68,73,87,76,71,77,88,81,85,84,94,75,80,86,81,81,92,84,87,85,77,80,98,88,88,81,88,85,86,76,87,76,91,83,92,73,78,83,85,89,81,94,91,78,83,83,82,69,87,88,91,80,86,75,94
75,88,85,90,89,81,93,72,89,75,84,78,78,85,65,73,91,93,83,83,90,74,90,87,90,91,81,77,94,78,84,87,76,76,76,87,83,82,84,84,80,81,90,75,84,93,84,87,86,80,84,93,85,94,90,78,91,85,77,85,84,93,85,81,91,85,85,91,91,78,96,89,90,82,87,67,70,84,89,91,84,74,75,92
83,85,86,85,87,84,94,86,89,81,85,74,86,89,57,83,93,93,87,84,84,81,93,87,90,86,78,83,90,85,87,81,83,83,71,86,82,76,84,90,82,80,83,86,80,93,82,78,90,83,84,91,83,91,87,84,91,91,84,87,89,82,86,81,96,83,85,80,90,89,92,77,82,84,87,76,87,87,93,91,82,89,85,97
86,90,88,76,87,85,76,85,82,88,87,87,75,90,76,84,88,91,87,84,79,86,91,87,90,88,85,88,77,85,76,68,89,81,78,92,82,75,82,93,83,72,73,86,70,92,83,80,88,85,85,91,87,88,91,88,90,91,83,90,90,82,86,87,95,76,85,80,89,90,94,84,81,86,87,84,77,81,92,90,86,93,80,97
86,93,86,82,91,84,72,81,76,90,85,90,81,88,80,85,90,82,86,85,86,90,88,86,90,86,75,88,84,89,74,76,91,83,82,89,83,81,81,91,83,79,87,84,77,87,88,78,74,87,84,92,84,76,87,80,89,92,80,85,89,87,91,94,99,79,75,85,83,81,81,87,87,74,94,86,87,72,86,97,87,92,82,99
89,92,89,83,90,84,78,92,88,91,82,90,82,85,86,89,89,85,86,86,88,90,89,87,92,86,77,91,87,86,79,82,92,72,87,89,84,85,80,91,79,82,90,80,72,83,82,82,87,84,89,89,80,82,87,87,87,94,82,91,88,92,90,93,94,85,85,89,80,80,77,92,89,86,95,86,84,80,90,96,90,84,82,99
95,91,89,89,90,85,86,89,81,91,87,86,84,85,83,88,85,91,73,86,91,82,91,88,87,86,75,85,90,82,81,82,90,82,90,90,87,79,79,91,85,87,95,84,79,87,80,71,88,89,95,82,89,80,91,87,84,95,83,90,78,89,91,81,94,88,86,93,81,83,81,88,88,88,96,85,88,82,94,95,85,92,79,98
96,95,76,80,89,85,89,87,86,93,89,92,85,71,89,89,89,93,83,86,92,83,89,89,84,88,79,86,91,79,86,86,85,85,94,89,82,80,84,92,84,83,80,88,80,77,86,80,85,88,93,89,83,85,84,85,83,95,85,94,84,88,83,79,97,88,87,96,82,93,83,90,80,87,94,86,89,78,95,94,91,95,73,98
95,75,90,80,79,77,86,76,82,87,85,80,89,71,90,89,82,91,88,80,91,89,91,89,80,87,82,86,79,83,88,84,85,86,91,87,88,79,81,85,84,81,80,89,70,84,85,83,89,87,93,90,87,84,84,83,83,94,72,93,86,87,91,82,83,88,92,93,81,98,84,87,90,89,94,89,89,76,84,82,90,97,86,97
99,89,78,80,80,86,85,80,79,88,87,88,90,82,90,86,87,90,90,85,89,78,93,87,85,88,84,91,73,81,88,84,86,86,90,89,87,70,82,82,79,84,79,89,82,88,89,85,89,85,92,93,86,83,85,83,85,96,75,93,87,79,85,85,79,89,97,91,76,101,87,91,89,87,90,89,76,83,78,88,88,95,87,100
98,90,81,86,75,84,79,86,82,91,93,88,89,89,91,87,88,90,89,90,92,84,95,84,82,80,85,94,79,85,88,82,90,87,89,89,87,81,85,86,80,85,86,88,88,93,80,89,89,84,91,91,87,82,82,84,85,96,76,94,88,91,83,89,85,88,96,91,82,97,89,91,93,92,94,87,77,83,77,88,91,93,81,84
94,82,83,81,86,75,86,86,77,91,91,88,85,91,92,81,91,92,87,93,79,89,90,92,76,81,82,93,84,89,90,84,92,84,88,90,76,85,85,88,82,82,90,85,86,93,86,89,89,85,91,88,88,85,71,85,86,97,77,88,89,95,90,90,93,88,93,92,86,95,86,90,94,91,91,84,87,87,86,90,92,95,74,89
94,73,85,82,92,89,88,90,86,91,89,90,81,89,91,79,98,92,90,93,83,86,85,92,88,87,86,89,88,89,88,77,82,83,89,92,75,86,85,90,81,86,87,84,85,92,85,90,88,92,94,92,91,85,82,88,85,97,86,93,88,94,90,82,95,87,93,92,87,100,83,88,95,90,84,86,82,85,87,93,90,93,88,89
91,82,87,86,82,87,91,90,80,85,91,89,83,77,92,80,91,91,90,92,89,88,88,90,92,92,88,85,85,90,88,84,88,90,87,91,84,88,86,87,77,91,90,90,88,92,90,87,89,90,94,91,89,86,82,87,86,94,88,91,87,96,84,93,91,88,94,93,74,98,92,84,100,91,81,87,82,87,94,95,91,95,91,84
90,90,84,90,86,82,90,84,84,88,88,87,89,85,92,84,91,92,81,96,87,84,79,91,95,88,85,85,87,92,88,83,90,90,92,88,88,86,87,90,82,90,92,89,87,93,89,79,89,86,93,93,93,84,84,87,89,96,89,90,86,94,84,93,86,91,84,95,82,99,93,90,92,92,87,75,89,86,92,99,91,80,91,98
95,90,85,90,92,81,95,88,85,85,90,81,92,90,90,90,89,91,73,97,90,90,78,91,92,90,89,78,89,85,89,84,92,90,92,88,87,85,88,90,81,90,90,88,86,95,88,79,87,84,93,95,91,82,83,88,89,95,88,91,88,92,93,93,85,90,90,96,82,96,88,94,100,92,90,73,85,90,97,97,90,86,90,98
95,80,85,92,87,82,93,84,88,80,90,88,92,73,91,94,92,93,83,96,90,91,85,88,92,92,86,89,89,75,90,84,92,90,86,91,82,75,82,89,84,91,91,88,87,96,88,85,85,85,93,89,91,83,83,93,92,90,82,95,85,92,90,88,89,92,89,89,84,99,91,96,100,90,91,84,87,77,94,96,89,91,88,97
90,84,87,93,76,81,92,91,76,84,93,92,95,75,92,92,83,95,87,94,92,91,89,88,95,92,78,85,77,82,92,81,89,89,90,93,79,82,85,89,88,91,78,93,90,90,93,87,75,86,93,91,90,84,86,92,85,94,86,96,87,91,91,85,97,92,85,93,87,95,92,96,97,92,89,89,89,91,88,97,92,90,88,98
90,80,88,92,83,85,91,87,74,91,97,93,94,77,93,92,88,95,89,93,95,90,90,90,88,88,80,89,86,89,92,90,85,89,90,90,74,88,90,90,90,91,85,92,89,80,97,79,86,85,91,93,92,73,86,93,75,97,86,97,89,93,92,96,101,91,84,89,90,94,95,95,96,94,91,94,88,88,88,98,86,89,88,97
89,87,91,91,87,87,91,92,87,91,96,93,93,84,92,92,90,95,79,93,96,88,93,90,91,87,85,89,88,91,92,84,89,85,90,91,83,84,92,90,87,91,86,93,69,80,95,79,83,85,93,98,91,75,92,94,86,95,83,99,89,96,92,89,99,91,88,79,87,96,92,94,98,92,92,93,86,89,85,98,91,89,86,99
85,92,90,91,86,86,86,84,91,94,96,84,92,88,94,93,91,96,86,94,93,90,94,84,91,73,88,86,93,87,90,81,91,84,86,86,83,88,89,84,77,90,89,85,78,86,94,84,85,88,93,95,92,70,86,89,89,89,86,99,91,94,91,92,96,100,89,82,89,99,92,94,97,94,95,88,88,82,89,99,92,85,87,97
87,90,90,92,87,88,97,84,93,90,95,75,92,89,93,97,88,87,79,93,92,93,93,82,92,80,88,84,85,87,86,82,95,86,91,88,84,82,94,90,79,90,91,90,89,88,93,88,78,86,94,97,94,88,92,90,90,90,87,98,88,96,95,92,95,97,90,90,90,100,96,97,99,92,90,91,90,87,92,101,94,84,89,92
88,91,86,92,89,87,94,81,93,88,93,87,76,89,94,87,88,91,74,94,91,96,94,84,93,85,89,86,88,81,71,82,90,88,89,88,86,87,93,83,85,91,86,91,91,90,93,87,76,85,95,98,89,84,92,86,89,92,88,97,90,95,94,94,96,95,87,94,92,101,92,74,99,94,94,90,89,84,92,100,93,90,73,93
