time (ms)
9253.0528
9490.9656
9513.6305
9563.3972
9784.7296
10766.319
12375.806
12785.861
12799.85
12884.385
13013.273
13049.736
13057.874
13452.198
13468.736
13526.211
13554.94
13687.784
13698.098
13705.607
13927.027
13934.457
13974.505
13982.682
15080.8
15091.014
15114.921
15162.722
15168.918
15320.322
16053.639
16591.433
16865.92
17119.026
18544.609
18555.021
18563.721
18624.738
18810.536
18848.781
18849.67
18948.47
19064.799
19176.867
19487.182
19508.347
19554.328
20117.461
21996.675
22557.669
22600.677
22616.256
22649.451
22746.135
22751.348
22807.736
22815.25
22831.269
22832.436
22979.68
23023.786
23281.199
23307.962
23313.63
25416.087
25416.393
25418.432
25454.011
26614.078
26719.59
28390.525
28799.01
29481.195
29486.27
29611.834
29700.726
29704.535
29784.185
30355.626
32712.586
39923.097
39976.745
40073.79
40080.222
40084.486
40119.496
40349.984
40364.836
40477.922
40483.035
40617.295
40627.285
40679.803
40707.057
41111.558
41980.111
42257.807
43683.948
43691.281
43709.799
47698.833
47844.532
47881.928
47918.203
48411.03
48414.36
48480.326
49309.267
49453.788
49473.39
49555.808
49599.787
49661.806
49924.98
50158.225
50177.747
51203.894
51917.903
51917.93
51925.925
51988.807
52018.616
52021.336
52057.224
52272.695
52276.096
52276.218
52413.259
52488.849
55843.826
58524.871
58675.772
59686.066
59716.276
59845.766
60003.257
62462.366
62534.986
62662.444
62688.739
63449.343
63481.918
63617.6
63733.698
63766.027
63996.008
64431.565
64445.538
64472.278
64519.74
64856.116
64929.332
64978.623
65657.571
66053.824
66447.215
67239.113
69375.923
72227.538
72632.851
72649.742
72654.462
72659.103
72684.874
72819.549
72836.065
72922.834
72959.348
72975.383
73502.268
75855.947
76056.547
79655.431
79681.902
98017.446
105467.63
112407.24
112409.73
112414.83
112851.34
112865.23
112980.47
112984.97
113023.53
117174.74
125082.71
125839.79
125881.75
126197.17
127876.83
129618.6
129667.02
130551.65
130581.5
133064.46
133076.29
133092.34
136308.46
136316.04
136586.3
136601.03
136602.31
138861.46
142243.46
142818.93
143550.73
147909.72
147939.83
148196.69
148204.7
148207.85
150740.77
150748.99
150757.17
151059.6
151077.32
151216.37
151230.1
151245.91
151256.89
151501.33
151512.7
151518.41
152748.06
152765.21
157739.96
158081.5
158324.34
168683.47
172034.02
172448.47
172465.58
172472.53
172509.94
172532.07
172548.33
172579.81
172606.21
172815.68
